,PCE_before,PCE_after,PCE_delta,PCE_before_ceil,PCE_before_x,PCE_before_ceil_x,PCE_before_median_x,PCE_before_mean_x
1960,7.746527087,6.475298831,16.41029898,8,1,10.39182878,7.725121882,7.267622968
1961,8.867430325,4.476859237,49.5134546,9,1,10.39182878,7.725121882,7.267622968
1962,11.61965672,7.709274943,33.65316094,12,2,14.15807755,12.39123084,12.39098432
1963,12.85672737,7.845659802,38.9762295,13,2,14.15807755,12.39123084,12.39098432
1964,10.85915165,7.678976833,29.28566542,11,2,14.15807755,12.39123084,12.39098432
1965,12.14433795,7.893222399,35.00491808,13,2,14.15807755,12.39123084,12.39098432
1966,10.04171338,6.30271236,37.2346917,11,1,10.39182878,7.725121882,7.267622968
1967,9.181555109,6.506724607,29.13265204,10,1,10.39182878,7.725121882,7.267622968
1968,11.89829545,6.214609289,47.76891096,12,2,14.15807755,12.39123084,12.39098432
1969,8.585351083,8.282069295,3.532549628,9,1,10.39182878,7.725121882,7.267622968
1970,10.61402865,6.537194533,38.40986539,11,2,14.15807755,12.39123084,12.39098432
1971,10.56269658,6.013829933,43.06539164,11,2,14.15807755,12.39123084,12.39098432
1972,10.62607127,6.107710045,42.52146544,11,2,14.15807755,12.39123084,12.39098432
1973,10.42515114,5.590297167,46.37682378,11,2,14.15807755,12.39123084,12.39098432
1974,9.751893324,5.799828479,40.52612876,10,1,10.39182878,7.725121882,7.267622968
1975,11.3488538,7.8905345,30.47285095,12,2,14.15807755,12.39123084,12.39098432
1976,10.91688021,7.136749104,34.62647782,11,2,14.15807755,12.39123084,12.39098432
1977,11.74938797,7.825578791,33.3958602,12,2,14.15807755,12.39123084,12.39098432
1978,11.65507758,7.289381644,37.45745925,12,2,14.15807755,12.39123084,12.39098432
1979,12.08556164,8.800306306,27.18330706,13,2,14.15807755,12.39123084,12.39098432
1980,11.68016262,8.061427097,30.98189332,12,2,14.15807755,12.39123084,12.39098432
1981,12.63724354,10.52288624,16.73115892,13,2,14.15807755,12.39123084,12.39098432
1982,14.68750393,11.0483439,24.77725315,15,3,16.76745839,15.28330418,15.37391053
1983,12.23302965,8.721411363,28.70603917,13,2,14.15807755,12.39123084,12.39098432
1984,13.87964242,11.03547712,20.49163239,14,2,14.15807755,12.39123084,12.39098432
1985,12.45186074,7.812604307,37.25753547,13,2,14.15807755,12.39123084,12.39098432
1986,11.29212488,8.448922616,25.1786293,12,2,14.15807755,12.39123084,12.39098432
1987,9.340043849,9.297699811,0.453360171,10,1,10.39182878,7.725121882,7.267622968
1988,13.37705813,10.42293763,22.08348409,14,2,14.15807755,12.39123084,12.39098432
1989,9.44396561,5.41087689,42.7054575,10,1,10.39182878,7.725121882,7.267622968
1990,9.355458808,5.469921981,41.53229581,10,1,10.39182878,7.725121882,7.267622968
1991,9.522701306,7.8208908,17.87108984,10,1,10.39182878,7.725121882,7.267622968
1992,10.15075583,5.660788848,44.23283403,11,1,10.39182878,7.725121882,7.267622968
1993,8.707597757,0.859513128,90.12915902,9,1,10.39182878,7.725121882,7.267622968
1994,9.594502764,6.981898917,27.23021621,10,1,10.39182878,7.725121882,7.267622968
1995,9.614704921,6.050792504,37.06730935,10,1,10.39182878,7.725121882,7.267622968
1996,10.20904519,7.778947119,23.80338246,11,1,10.39182878,7.725121882,7.267622968
1997,10.52157057,7.476337611,28.94276041,11,2,14.15807755,12.39123084,12.39098432
1998,9.417601686,6.30853939,33.01331273,10,1,10.39182878,7.725121882,7.267622968
1999,10.80669163,6.729817742,37.7254578,11,2,14.15807755,12.39123084,12.39098432
2000,11.58806901,6.860830382,40.79401517,12,2,14.15807755,12.39123084,12.39098432
2001,10.93773536,7.425483386,32.11132707,11,2,14.15807755,12.39123084,12.39098432
2002,11.8657953,8.2173115,30.74790783,12,2,14.15807755,12.39123084,12.39098432
2003,11.93427166,8.814010681,26.14538257,12,2,14.15807755,12.39123084,12.39098432
2004,11.47489849,7.157275783,37.62667454,12,2,14.15807755,12.39123084,12.39098432
2005,13.15501939,10.79916041,17.90844172,14,2,14.15807755,12.39123084,12.39098432
2006,11.73548229,7.969109276,32.09389203,12,2,14.15807755,12.39123084,12.39098432
2007,11.08997032,8.884405072,19.88792742,12,2,14.15807755,12.39123084,12.39098432
2008,10.37746921,9.27202296,10.65236837,11,1,10.39182878,7.725121882,7.267622968
2009,12.28430903,7.945787487,35.31758711,13,2,14.15807755,12.39123084,12.39098432
2010,9.015467022,2.446313836,72.86536759,10,1,10.39182878,7.725121882,7.267622968
2011,8.835668783,7.185879656,18.67192135,9,1,10.39182878,7.725121882,7.267622968
2012,9.56473555,2.690052411,71.87530803,10,1,10.39182878,7.725121882,7.267622968
2013,9.168635621,4.913086649,46.41420106,10,1,10.39182878,7.725121882,7.267622968
2014,9.501904695,1.740401544,81.68365607,10,1,10.39182878,7.725121882,7.267622968
2015,8.605749495,6.181724834,28.167502,9,1,10.39182878,7.725121882,7.267622968
2016,9.334769735,6.343522211,32.04414901,10,1,10.39182878,7.725121882,7.267622968
